Country Name,Year,Log of GDP per capita,Life Expectancy at 0 Log,Life Expectancy at 40 Log,Life Expectancy at 60 Log,Life Expectancy at 65 Log,Life Expectancy at 80 Log
Latvia,2004,9.930890022339755,4.277038678357204,3.5130368634176907,2.8875901149342877,2.6878474937846906,1.864080130807681
Latvia,2005,10.051583836727954,4.267682800117191,3.507057772361633,2.8820035082256483,2.6844403354630764,1.8718021769015913
Latvia,2006,10.181424486496349,4.260788704831503,3.5010427166318716,2.8875901149342877,2.6946271807700692,1.9021075263969203
Latvia,2007,10.288657858609994,4.262954659003603,3.5100517865742376,2.89314568477889,2.697999865248709,1.8946168546677629
Latvia,2008,10.264692619754289,4.282475768606442,3.5380565643793527,2.917770732084279,2.7245795030534206,1.9315214116032138
Latvia,2009,10.106372952955036,4.2915614063643766,3.5553480614894135,2.9391619220655967,2.750470916986162,1.9810014688665833
Latvia,2010,10.089886349826925,4.297053091208538,3.5553480614894135,2.9391619220655967,2.7472709142554916,1.9810014688665833
Latvia,2011,10.13800563272514,4.298313581682884,3.5779478934066544,2.9678470700644555,2.775708849576025,2.0412203288596382
Latvia,2012,10.220916526042616,4.30106124535636,3.5793435670456293,2.9678470700644555,2.775708849576025,2.001480000210124
Latvia,2013,10.252371128141009,4.303834348071045,3.58351893845611,2.980618635743943,2.7880929087757464,2.0412203288596382
Latvia,2014,10.282521732174617,4.305744631179501,3.5931942039795284,2.9882040071331994,2.797281334830153,2.0541237336955462
Latvia,2015,10.327843510306046,4.310537182356602,3.597312260588446,2.998229153752578,2.8063861018230716,2.0476928433652555
Latvia,2016,10.362179101399775,4.311878915356799,3.5986811861957873,2.998229153752578,2.803360380906535,2.0476928433652555
Latvia,2017,10.404465872260506,4.312532766593021,3.6014134283326604,2.995732273553991,2.806386101823072,2.0476928433652555
Latvia,2018,10.45445153329148,4.314589607991393,3.6000482404073204,3.0007198150650303,2.806386101823072,2.0412203288596382
